Temperature_K,Dephasing_per_ns,Coherence_ns,Bio_relevant
314.21,0.3426,2.5381,False
317.37,0.3426,2.5314,False
320.53,0.3426,2.5247,False
323.68,0.3426,2.518,False
326.84,0.3426,2.5112,False
330.0,0.3426,2.5044,False
270.0,0.3842,2.3689,False
273.16,0.3842,2.3639,False
276.32,0.3842,2.3589,False
279.47,0.3842,2.3538,False
282.63,0.3842,2.3487,False
285.79,0.3842,2.3435,False
288.95,0.3842,2.3384,False
292.11,0.3842,2.3332,False
295.26,0.3842,2.3279,False
298.42,0.3842,2.3226,False
301.58,0.3842,2.3173,False
304.74,0.3842,2.312,False
307.89,0.3842,2.3066,False
311.05,0.3842,2.3012,False
314.21,0.3842,2.2958,False
317.37,0.3842,2.2903,False
320.53,0.3842,2.2849,False
323.68,0.3842,2.2793,False
326.84,0.3842,2.2738,False
330.0,0.3842,2.2682,False
270.0,0.4258,2.1565,False
273.16,0.4258,2.1523,False
276.32,0.4258,2.1482,False
279.47,0.4258,2.144,False
282.63,0.4258,2.1397,False
285.79,0.4258,2.1355,False
288.95,0.4258,2.1312,False
292.11,0.4258,2.1268,False
295.26,0.4258,2.1225,False
298.42,0.4258,2.1181,False
301.58,0.4258,2.1137,False
304.74,0.4258,2.1092,False
307.89,0.4258,2.1048,False
311.05,0.4258,2.1003,False
314.21,0.4258,2.0957,False
317.37,0.4258,2.0912,False
320.53,0.4258,2.0866,False
323.68,0.4258,2.082,False
326.84,0.4258,2.0774,False
330.0,0.4258,2.0728,False
270.0,0.4674,1.979,False
273.16,0.4674,1.9755,False
276.32,0.4674,1.972,False
279.47,0.4674,1.9685,False
282.63,0.4674,1.9649,False
285.79,0.4674,1.9613,False
288.95,0.4674,1.9577,False
292.11,0.4674,1.954,False
295.26,0.4674,1.9504,False
298.42,0.4674,1.9466,False
301.58,0.4674,1.9429,False
304.74,0.4674,1.9392,False
307.89,0.4674,1.9354,False
311.05,0.4674,1.9316,False
314.21,0.4674,1.9278,False
317.37,0.4674,1.9239,False
320.53,0.4674,1.92,False
323.68,0.4674,1.9161,False
326.84,0.4674,1.9122,False
330.0,0.4674,1.9083,False
270.0,0.5089,1.8286,False
273.16,0.5089,1.8256,False
276.32,0.5089,1.8226,False
279.47,0.5089,1.8196,False
282.63,0.5089,1.8165,False
285.79,0.5089,1.8134,False
288.95,0.5089,1.8103,False
292.11,0.5089,1.8072,False
295.26,0.5089,1.8041,False
298.42,0.5089,1.8009,False
301.58,0.5089,1.7977,False
304.74,0.5089,1.7945,False
307.89,0.5089,1.7912,False
311.05,0.5089,1.788,False
314.21,0.5089,1.7847,False
317.37,0.5089,1.7814,False
320.53,0.5089,1.7781,False
323.68,0.5089,1.7748,False
326.84,0.5089,1.7714,False
330.0,0.5089,1.768,False
270.0,0.5505,1.6994,False
273.16,0.5505,1.6968,False
276.32,0.5505,1.6942,False
279.47,0.5505,1.6916,False
282.63,0.5505,1.6889,False
285.79,0.5505,1.6863,False
288.95,0.5505,1.6836,False
292.11,0.5505,1.6809,False
295.26,0.5505,1.6782,False
298.42,0.5505,1.6754,False
301.58,0.5505,1.6727,False
304.74,0.5505,1.6699,False
307.89,0.5505,1.6671,False
311.05,0.5505,1.6643,False
314.21,0.5505,1.6614,False
317.37,0.5505,1.6586,False
320.53,0.5505,1.6557,False
323.68,0.5505,1.6528,False
326.84,0.5505,1.6499,False
330.0,0.5505,1.6469,False
270.0,0.5921,1.5872,False
273.16,0.5921,1.585,False
276.32,0.5921,1.5827,False
279.47,0.5921,1.5804,False
282.63,0.5921,1.5781,False
285.79,0.5921,1.5758,False
288.95,0.5921,1.5735,False
292.11,0.5921,1.5711,False
295.26,0.5921,1.5687,False
298.42,0.5921,1.5663,False
301.58,0.5921,1.5639,False
304.74,0.5921,1.5615,False
307.89,0.5921,1.559,False
311.05,0.5921,1.5566,False
314.21,0.5921,1.5541,False
317.37,0.5921,1.5516,False
320.53,0.5921,1.549,False
323.68,0.5921,1.5465,False
326.84,0.5921,1.544,False
330.0,0.5921,1.5414,False
270.0,0.6337,1.489,False
273.16,0.6337,1.487,False
276.32,0.6337,1.485,False
279.47,0.6337,1.483,False
282.63,0.6337,1.4809,False
285.79,0.6337,1.4789,False
288.95,0.6337,1.4768,False
